timestamp,open,highest,lowest,close,volume
1618175580000,59638.87,59643.91,59613.62,59629.44,12.50495
1618175640000,59629.45,59630.05,59600.57,59604.38,22.166137
1618175700000,59603.01,59603.25,59566.36,59582.07,9.176191
1618175760000,59582.07,59589.42,59570.95,59573.78,8.535137
1618175820000,59573.78,59597.3,59556.17,59578.03,16.200184
1618175880000,59578.02,59600,59574.1,59587.25,14.569455
1618175940000,59587.25,59600,59587.24,59599.94,14.187668
1618176000000,59599.94,59600,59588.28,59599.99,11.803336
1618176060000,59599.99,59613.96,59596.44,59599.32,8.073556
1618176120000,59600,59617.3,59597.24,59609.3,10.296682
1618176180000,59609.3,59612.94,59597.93,59606.47,9.23466
1618176240000,59605.74,59616.98,59597.93,59597.93,12.937978
1618176300000,59597.93,59597.94,59567.53,59571.33,12.790612
1618176360000,59571.33,59571.33,59527.07,59545.79,22.29145
1618176420000,59548.24,59593.96,59545.82,59584.58,12.502936
1618176480000,59584.58,59602.76,59565.47,59594.25,14.096537
1618176540000,59594.24,59597.24,59535.62,59542.73,15.854883
1618176600000,59542.72,59544.65,59500,59503.26,22.899791
1618176660000,59502.79,59514.43,59490.96,59508.77,37.585304
1618176720000,59506.13,59515.85,59488.57,59498.29,25.0339
1618176780000,59498.29,59521.6,59490.59,59519.01,19.241817
1618176840000,59519.01,59609.93,59519.01,59601.6,21.613621
1618176900000,59601.45,59605.94,59569.86,59581.49,18.211307
1618176960000,59584.21,59584.21,59571.24,59571.75,6.9447
1618177020000,59571.75,59573.79,59571.24,59571.66,7.224853
1618177080000,59571.65,59633.97,59565.16,59632.81,26.62057
1618177140000,59631.68,59634,59617.47,59623.91,17.936637
1618177200000,59623.91,59646.31,59623.9,59644.51,36.069949
1618177260000,59645.24,59664.76,59641.86,59651.06,24.366246
1618177320000,59651.05,59651.06,59628.99,59629,11.935362
1618177380000,59628.99,59634.47,59613.24,59630,15.759428
1618177440000,59630,59680.36,59620.32,59675.77,10.109158
1618177500000,59675.78,59675.78,59607.28,59607.29,14.06782
1618177560000,59607.28,59623.03,59603.02,59603.02,8.3089
1618177620000,59603.02,59622.63,59587.99,59587.99,9.454616
1618177680000,59587.99,59600,59574.99,59589.99,12.961064
1618177740000,59589.99,59625.74,59575.15,59623,14.244571
1618177800000,59623,59623.01,59555.73,59555.73,14.932568
1618177860000,59555.73,59580.03,59530.8,59580.03,29.148732
1618177920000,59580.03,59628.1,59555.71,59555.72,27.276191
1618177980000,59555.72,59594.68,59551.04,59592.25,18.205786
1618178040000,59592.25,59595.98,59560.33,59570.78,12.807996
1618178100000,59575.23,59590,59568.09,59576.05,11.801061
1618178160000,59576.05,59577.86,59568.84,59577.15,8.343578
1618178220000,59577.15,59577.16,59561.02,59568.1,8.115295
1618178280000,59568.1,59580,59568.09,59579.09,10.459327
1618178340000,59579.09,59631.7,59579.09,59610.72,13.449078
1618178400000,59610.72,59636.41,59527.55,59527.56,65.961161
1618178460000,59527.56,59576.78,59527.29,59549.3,15.527079
1618178520000,59549.3,59555,59542.51,59542.51,13.516788
1618178580000,59542.51,59542.52,59500,59500,31.618115
1618178640000,59500,59500.01,59453.1,59456.4,53.262961
1618178700000,59456.39,59460.28,59433.29,59460.27,43.585558
1618178760000,59460.27,59507.39,59460.27,59488.67,23.30805
1618178820000,59488.66,59536.36,59480.35,59510.46,14.70055
1618178880000,59510.45,59510.46,59461.27,59504.8,24.447082
1618178940000,59504.8,59555.38,59504.8,59538.77,45.058267
1618179000000,59542.31,59549.99,59504.74,59521.6,20.721272
1618179060000,59521.61,59574.46,59516.88,59571.58,15.167621
1618179120000,59571.58,59571.58,59549.95,59551.94,13.660206
1618179180000,59551.94,59599,59550.01,59578.2,14.627086
1618179240000,59578.2,59609.96,59557,59609.5,20.258107
1618179300000,59605.09,59606.49,59563.41,59575.33,25.677585
1618179360000,59575.32,59575.33,59551.91,59551.91,18.232754
1618179420000,59551.92,59628.31,59551.91,59622.2,21.544402
1618179480000,59626.88,59686.82,59618.98,59686.82,25.785182
1618179540000,59686.81,59714.8,59680.36,59714,23.550037
1618179600000,59714,59741.37,59713.99,59729.92,22.615207
1618179660000,59729.93,59729.93,59693.69,59701.34,40.520714
1618179720000,59701.34,59780,59697.88,59779.81,16.827481
1618179780000,59779.81,59971.31,59729.94,59920.75,124.466808
1618179840000,59920.75,60020,59891.77,59932.09,86.422184
1618179900000,59932.08,59979.24,59891.76,59975.95,30.493764
1618179960000,59975.95,60028.8,59975.29,60017.55,43.621814
1618180020000,60017.55,60070.25,59993.75,60055.65,78.178848
1618180080000,60055.66,60070.71,59980,59987.8,104.972804
1618180140000,59987.79,60060.49,59971.3,60009.73,65.661024
